artist,album,price,format,qty,orderdate,store.id
Journey,Escape,8.98,cass,4,2019-07-11,X017
U2,War,9.98,lp,2,2019-03-29,X019
The Who,Who's Next,7.98,cass,2,2019-03-29,X019
The Rolling Stones,Sticky Fingers,7.98,lp,4,2019-03-29,X019
Aerosmith,Toys in the Attic,7.98,cass,2,2019-03-29,X019
Lynyrd Skynyrd,Second Helping,7.98,cass,5,2019-03-29,X019
Led Zeppelin,IV (untitled),7.98,lp,8,2019-03-29,X019
The Who,Who's Next,7.98,cass,4,2019-04-08,X023
Foreigner,4,8.98,lp,3,2019-04-08,X023
Journey,Escape,8.98,cass,7,2019-04-08,X023
U2,War,9.98,cass,3,2019-04-08,X023
Heart,Dreamboat Annie,7.98,lp,2,2019-04-08,X023
The Who,Who's Next,7.98,cass,4,2019-04-08,X023
U2,War,9.98,cass,1,2019-08-10,X037
Bad Company,Bad Company,7.98,cass,2,2019-08-10,X037
Boston,Boston,8.98,lp,5,2019-08-10,X037
Led Zeppelin,IV (untitled),7.98,lp,2,2019-08-10,X037
Van Halen,1984,9.98,lp,5,2019-08-10,X037
Van Halen,1984,9.98,cass,5,2019-04-18,X040
Foreigner,4,8.98,cass,5,2019-08-29,X015
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,2,2019-08-29,X015
Pink Floyd,The Wall,14.98,cass,5,2019-08-29,X015
Steve Miller Band,Fly Like an Eagle,8.98,cass,10,2019-08-29,X015
Journey,Escape,8.98,cass,6,2019-08-29,X015
The Doors,The Doors,7.98,lp,4,2019-07-14,X002
Led Zeppelin,IV (untitled),7.98,cass,8,2019-01-24,X012
Rush,Moving Pictures,8.98,lp,2,2019-01-24,X012
The Doors,The Doors,7.98,lp,3,2019-01-24,X012
Eagles,Hotel California,8.98,cass,4,2019-01-24,X012
The Cars,The Cars,8.98,cass,4,2019-12-12,X007
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,5,2019-12-12,X007
Journey,Escape,8.98,cass,6,2019-12-12,X007
Bad Company,Bad Company,7.98,cass,4,2019-12-12,X007
AC/DC,Back in Black,8.98,cass,4,2019-07-16,X001
Queen,Night at the Opera,7.98,cass,3,2019-07-16,X001
ZZ Top,Eliminator,9.98,lp,4,2019-07-16,X001
Aerosmith,Toys in the Attic,7.98,lp,2,2019-07-16,X001
Led Zeppelin,IV (untitled),7.98,lp,7,2019-01-08,X011
The Doors,The Doors,7.98,cass,4,2019-01-08,X011
Van Halen,1984,9.98,cass,4,2019-01-08,X011
The Rolling Stones,Sticky Fingers,7.98,cass,1,2019-01-08,X011
Steve Miller Band,Fly Like an Eagle,8.98,cass,3,2019-01-08,X011
The Cars,The Cars,8.98,cass,3,2019-01-08,X011
Led Zeppelin,IV (untitled),7.98,cass,2,2019-09-11,X001
Pink Floyd,The Wall,14.98,cass,3,2019-09-11,X001
The Rolling Stones,Sticky Fingers,7.98,cass,6,2019-09-11,X001
Fleetwood Mac,Rumours,8.98,cass,2,2019-09-11,X001
Steve Miller Band,Fly Like an Eagle,8.98,cass,2,2019-01-18,X004
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,4,2019-01-18,X004
Van Halen,1984,9.98,cass,2,2019-01-18,X004
Fleetwood Mac,Rumours,8.98,cass,5,2019-08-13,X034
ZZ Top,Eliminator,9.98,cass,2,2019-08-13,X034
Van Halen,1984,9.98,cass,4,2019-08-13,X034
Def Leppard,Hysteria,9.98,lp,5,2019-08-13,X034
Van Halen,1984,9.98,lp,4,2019-08-13,X034
Pink Floyd,The Wall,14.98,cass,7,2019-07-30,X022
Van Halen,1984,9.98,cass,4,2019-07-30,X022
Pink Floyd,The Wall,14.98,cass,7,2019-07-30,X022
The Doors,The Doors,7.98,lp,4,2019-07-30,X022
U2,War,9.98,lp,4,2019-07-30,X022
Led Zeppelin,IV (untitled),7.98,cass,5,2019-07-30,X022
The Beatles,Abbey Road,7.98,lp,5,2019-05-03,X024
Rush,Moving Pictures,8.98,lp,5,2019-04-02,X027
Journey,Escape,8.98,cass,6,2019-04-02,X027
ZZ Top,Eliminator,9.98,lp,6,2019-04-02,X027
Aerosmith,Toys in the Attic,7.98,cass,3,2019-04-02,X027
Journey,Escape,8.98,lp,6,2019-04-02,X027
Bad Company,Bad Company,7.98,cass,3,2019-09-30,X040
The Rolling Stones,Sticky Fingers,7.98,cass,4,2019-09-30,X040
Lynyrd Skynyrd,Second Helping,7.98,lp,4,2019-09-30,X040
The Rolling Stones,Sticky Fingers,7.98,lp,6,2019-09-30,X040
ZZ Top,Eliminator,9.98,lp,7,2019-09-30,X040
AC/DC,Back in Black,8.98,cass,5,2019-09-30,X040
The Doors,The Doors,7.98,lp,2,2019-09-12,X037
Van Halen,1984,9.98,cass,3,2019-09-12,X037
Lynyrd Skynyrd,Second Helping,7.98,cass,5,2019-09-12,X037
Queen,Night at the Opera,7.98,cass,3,2019-09-12,X037
The Who,Who's Next,7.98,cass,4,2019-06-22,X034
Eagles,Hotel California,8.98,cass,3,2019-06-22,X034
Eagles,Hotel California,8.98,lp,4,2019-06-22,X034
Rush,Moving Pictures,8.98,lp,3,2019-06-22,X034
The Cars,The Cars,8.98,lp,1,2019-06-22,X034
Lynyrd Skynyrd,Second Helping,7.98,cass,4,2019-06-22,X034
ZZ Top,Eliminator,9.98,cass,4,2019-06-22,X034
Led Zeppelin,IV (untitled),7.98,lp,3,2019-11-27,X031
The Doors,The Doors,7.98,cass,10,2019-11-27,X031
The Cars,The Cars,8.98,cass,4,2019-11-27,X031
Van Halen,1984,9.98,cass,3,2019-11-27,X031
The Rolling Stones,Sticky Fingers,7.98,lp,7,2019-10-28,X014
Boston,Boston,8.98,lp,6,2019-10-28,X014
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,5,2019-10-28,X014
Led Zeppelin,IV (untitled),7.98,cass,5,2019-10-28,X014
The Doors,The Doors,7.98,lp,3,2019-10-28,X014
Rush,Moving Pictures,8.98,cass,6,2019-10-28,X014
Bad Company,Bad Company,7.98,cass,4,2019-05-12,X018
Pink Floyd,The Wall,14.98,lp,3,2019-05-12,X018
Heart,Dreamboat Annie,7.98,lp,3,2019-05-12,X018
Journey,Escape,8.98,cass,5,2019-05-12,X018
Boston,Boston,8.98,lp,4,2019-06-29,X005
Journey,Escape,8.98,cass,3,2019-06-29,X005
Aerosmith,Toys in the Attic,7.98,cass,5,2019-06-29,X005
U2,War,9.98,cass,2,2019-06-29,X005
Lynyrd Skynyrd,Second Helping,7.98,cass,3,2019-06-29,X005
Led Zeppelin,IV (untitled),7.98,lp,2,2019-06-29,X005
Eagles,Hotel California,8.98,cass,4,2019-08-27,X040
The Rolling Stones,Sticky Fingers,7.98,lp,3,2019-08-27,X040
Fleetwood Mac,Rumours,8.98,cass,3,2019-08-27,X040
Bad Company,Bad Company,7.98,lp,5,2019-08-27,X040
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,3,2019-02-09,X026
Queen,Night at the Opera,7.98,cass,6,2019-02-09,X026
ZZ Top,Eliminator,9.98,cass,5,2019-02-09,X026
Aerosmith,Toys in the Attic,7.98,lp,5,2019-02-09,X026
Fleetwood Mac,Rumours,8.98,lp,3,2019-02-09,X026
AC/DC,Back in Black,8.98,cass,2,2019-02-09,X026
Boston,Boston,8.98,cass,4,2019-02-09,X026
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,5,2019-02-09,X026
Lynyrd Skynyrd,Second Helping,7.98,cass,8,2019-08-28,X023
Van Halen,1984,9.98,cass,0,2019-08-28,X023
Boston,Boston,8.98,cass,5,2019-08-28,X023
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,4,2019-08-28,X023
ZZ Top,Eliminator,9.98,lp,4,2019-08-28,X023
AC/DC,Back in Black,8.98,cass,2,2019-08-28,X023
Foreigner,4,8.98,lp,1,2019-08-28,X023
Lynyrd Skynyrd,Second Helping,7.98,cass,2,2019-08-31,X010
Rush,Moving Pictures,8.98,cass,1,2019-08-31,X010
The Cars,The Cars,8.98,lp,5,2019-08-31,X010
The Who,Who's Next,7.98,cass,2,2019-08-31,X010
Fleetwood Mac,Rumours,8.98,lp,2,2019-08-31,X010
The Rolling Stones,Sticky Fingers,7.98,lp,3,2019-02-04,X001
Aerosmith,Toys in the Attic,7.98,lp,4,2019-02-04,X001
Queen,Night at the Opera,7.98,cass,6,2019-02-04,X001
The Doors,The Doors,7.98,lp,3,2019-02-04,X001
Steve Miller Band,Fly Like an Eagle,8.98,lp,6,2019-02-04,X001
Bad Company,Bad Company,7.98,cass,7,2019-08-30,X042
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,6,2019-08-30,X042
Pink Floyd,The Wall,14.98,cass,6,2019-08-30,X042
Aerosmith,Toys in the Attic,7.98,cass,5,2019-08-30,X042
Van Halen,1984,9.98,lp,4,2019-08-30,X042
The Rolling Stones,Sticky Fingers,7.98,cass,6,2019-08-16,X028
Steve Miller Band,Fly Like an Eagle,8.98,cass,5,2019-08-16,X028
Steve Miller Band,Fly Like an Eagle,8.98,cass,6,2019-08-16,X028
Van Halen,1984,9.98,cass,7,2019-08-16,X028
Led Zeppelin,IV (untitled),7.98,cass,6,2019-08-16,X028
Def Leppard,Hysteria,9.98,cass,4,2019-03-02,X015
Eagles,Hotel California,8.98,lp,2,2019-03-02,X015
The Beatles,Abbey Road,7.98,cass,5,2019-03-02,X015
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,5,2019-03-02,X015
The Doors,The Doors,7.98,cass,1,2019-03-02,X015
The Rolling Stones,Sticky Fingers,7.98,lp,2,2019-03-02,X015
The Rolling Stones,Sticky Fingers,7.98,lp,0,2019-09-02,X014
The Doors,The Doors,7.98,cass,6,2019-09-02,X014
ZZ Top,Eliminator,9.98,cass,5,2019-09-02,X014
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,3,2019-06-23,X023
Steve Miller Band,Fly Like an Eagle,8.98,lp,2,2019-06-23,X023
The Beatles,Abbey Road,7.98,cass,5,2019-06-23,X023
Aerosmith,Toys in the Attic,7.98,cass,6,2019-06-23,X023
Led Zeppelin,IV (untitled),7.98,lp,11,2019-06-23,X023
Bad Company,Bad Company,7.98,cass,1,2019-06-23,X023
The Doors,The Doors,7.98,cass,6,2019-06-23,X023
The Rolling Stones,Sticky Fingers,7.98,lp,4,2019-08-06,X016
Bad Company,Bad Company,7.98,cass,8,2019-08-06,X016
Led Zeppelin,IV (untitled),7.98,cass,4,2019-08-06,X016
ZZ Top,Eliminator,9.98,cass,1,2019-08-06,X016
Van Halen,1984,9.98,lp,5,2019-08-06,X016
Def Leppard,Hysteria,9.98,lp,5,2019-08-06,X016
Eagles,Hotel California,8.98,cass,4,2019-03-17,X012
The Rolling Stones,Sticky Fingers,7.98,cass,7,2019-03-17,X012
The Beatles,Abbey Road,7.98,lp,8,2019-02-20,X014
Journey,Escape,8.98,cass,2,2019-02-20,X014
Foreigner,4,8.98,lp,9,2019-02-20,X014
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,2,2019-01-25,X023
Fleetwood Mac,Rumours,8.98,lp,6,2019-01-25,X023
Boston,Boston,8.98,cass,6,2019-01-25,X023
Van Halen,1984,9.98,cass,4,2019-01-25,X023
Heart,Dreamboat Annie,7.98,lp,3,2019-01-25,X023
Heart,Dreamboat Annie,7.98,cass,6,2019-08-09,X039
Boston,Boston,8.98,cass,9,2019-08-09,X039
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,3,2019-06-08,X037
Steve Miller Band,Fly Like an Eagle,8.98,lp,6,2019-06-08,X037
Journey,Escape,8.98,cass,12,2019-06-08,X037
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,5,2019-06-08,X037
AC/DC,Back in Black,8.98,cass,3,2019-02-06,X031
The Cars,The Cars,8.98,lp,4,2019-02-06,X031
Pink Floyd,The Wall,14.98,cass,6,2019-02-06,X031
Led Zeppelin,IV (untitled),7.98,lp,1,2019-02-06,X031
Pink Floyd,The Wall,14.98,cass,2,2019-02-06,X031
Fleetwood Mac,Rumours,8.98,cass,5,2019-09-30,X012
Van Halen,1984,9.98,cass,5,2019-09-30,X012
The Beatles,Abbey Road,7.98,cass,4,2019-09-30,X012
Boston,Boston,8.98,cass,3,2019-09-30,X012
U2,War,9.98,cass,5,2019-08-15,X027
Queen,Night at the Opera,7.98,cass,3,2019-08-15,X027
Pink Floyd,The Wall,14.98,cass,3,2019-08-15,X027
Foreigner,4,8.98,cass,6,2019-08-15,X027
Def Leppard,Hysteria,9.98,lp,4,2019-08-15,X027
Pink Floyd,The Wall,14.98,lp,3,2019-08-15,X027
The Beatles,Abbey Road,7.98,cass,3,2019-08-15,X027
Van Halen,1984,9.98,cass,6,2019-09-29,X002
ZZ Top,Eliminator,9.98,cass,6,2019-09-29,X002
Steve Miller Band,Fly Like an Eagle,8.98,cass,3,2019-09-29,X002
ZZ Top,Eliminator,9.98,cass,5,2019-09-29,X002
Bad Company,Bad Company,7.98,cass,6,2019-09-29,X002
Van Halen,1984,9.98,cass,6,2019-09-29,X002
Foreigner,4,8.98,cass,5,2019-09-29,X002
Fleetwood Mac,Rumours,8.98,lp,3,2019-12-13,X002
Aerosmith,Toys in the Attic,7.98,cass,5,2019-12-13,X002
Boston,Boston,8.98,lp,3,2019-12-13,X002
Foreigner,4,8.98,lp,8,2019-12-13,X002
Foreigner,4,8.98,lp,3,2019-12-13,X002
Van Halen,1984,9.98,cass,7,2019-12-13,X002
Led Zeppelin,IV (untitled),7.98,cass,3,2019-09-06,X010
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,1,2019-09-06,X010
The Rolling Stones,Sticky Fingers,7.98,cass,3,2019-09-06,X010
The Cars,The Cars,8.98,cass,4,2019-08-19,X004
Led Zeppelin,IV (untitled),7.98,cass,8,2019-08-19,X004
Steve Miller Band,Fly Like an Eagle,8.98,lp,2,2019-08-19,X004
Pink Floyd,The Wall,14.98,cass,3,2019-08-19,X004
Led Zeppelin,IV (untitled),7.98,cass,5,2019-08-19,X004
Pink Floyd,The Wall,14.98,cass,5,2019-11-20,X040
Pink Floyd,The Wall,14.98,cass,7,2019-11-20,X040
Pink Floyd,The Wall,14.98,cass,5,2019-11-20,X040
ZZ Top,Eliminator,9.98,lp,2,2019-11-20,X040
Bad Company,Bad Company,7.98,lp,3,2019-11-20,X040
Bad Company,Bad Company,7.98,cass,3,2019-11-20,X040
Steve Miller Band,Fly Like an Eagle,8.98,cass,7,2019-04-18,X032
The Beatles,Abbey Road,7.98,lp,4,2019-04-18,X032
ZZ Top,Eliminator,9.98,cass,8,2019-04-18,X032
Led Zeppelin,IV (untitled),7.98,cass,3,2019-04-18,X032
Boston,Boston,8.98,lp,4,2019-04-18,X032
Led Zeppelin,IV (untitled),7.98,cass,0,2019-08-10,X034
Eagles,Hotel California,8.98,cass,7,2019-08-10,X034
Led Zeppelin,IV (untitled),7.98,lp,6,2019-08-10,X034
The Doors,The Doors,7.98,cass,3,2019-08-10,X034
The Cars,The Cars,8.98,cass,4,2019-08-19,X003
Fleetwood Mac,Rumours,8.98,lp,0,2019-08-19,X003
Foreigner,4,8.98,cass,5,2019-08-19,X003
The Doors,The Doors,7.98,cass,4,2019-08-19,X003
U2,War,9.98,lp,3,2019-01-04,X030
The Doors,The Doors,7.98,cass,4,2019-09-02,X025
Pink Floyd,The Wall,14.98,cass,5,2019-09-02,X025
Boston,Boston,8.98,cass,5,2019-09-02,X025
The Rolling Stones,Sticky Fingers,7.98,cass,4,2019-09-02,X025
Aerosmith,Toys in the Attic,7.98,lp,3,2019-09-02,X025
Van Halen,1984,9.98,lp,3,2019-09-02,X025
The Rolling Stones,Sticky Fingers,7.98,cass,0,2019-09-08,X041
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,2,2019-09-08,X041
Aerosmith,Toys in the Attic,7.98,cass,0,2019-09-08,X041
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,4,2019-09-08,X041
Van Halen,1984,9.98,lp,5,2019-09-08,X041
Fleetwood Mac,Rumours,8.98,lp,5,2019-09-08,X041
Fleetwood Mac,Rumours,8.98,lp,4,2019-01-14,X014
The Beatles,Abbey Road,7.98,cass,2,2019-01-14,X014
Bad Company,Bad Company,7.98,cass,4,2019-01-14,X014
The Doors,The Doors,7.98,cass,4,2019-03-25,X044
Rush,Moving Pictures,8.98,cass,4,2019-03-25,X044
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,2,2019-03-25,X044
AC/DC,Back in Black,8.98,lp,4,2019-03-25,X044
The Rolling Stones,Sticky Fingers,7.98,cass,0,2019-03-25,X044
Pink Floyd,The Wall,14.98,cass,3,2019-08-13,X031
Boston,Boston,8.98,cass,5,2019-08-13,X031
Def Leppard,Hysteria,9.98,lp,3,2019-08-13,X031
Pink Floyd,The Wall,14.98,lp,2,2019-08-13,X031
The Doors,The Doors,7.98,cass,4,2019-08-13,X031
Led Zeppelin,IV (untitled),7.98,cass,7,2019-08-13,X031
Journey,Escape,8.98,cass,1,2019-08-13,X031
The Doors,The Doors,7.98,cass,1,2019-11-08,X043
Heart,Dreamboat Annie,7.98,cass,7,2019-11-08,X043
The Who,Who's Next,7.98,lp,0,2019-11-08,X043
Aerosmith,Toys in the Attic,7.98,cass,2,2019-11-08,X043
The Rolling Stones,Sticky Fingers,7.98,lp,1,2019-11-08,X043
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,1,2019-11-08,X043
Heart,Dreamboat Annie,7.98,lp,3,2019-11-08,X043
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,7,2019-11-08,X043
Bad Company,Bad Company,7.98,cass,5,2019-11-08,X043
Led Zeppelin,IV (untitled),7.98,lp,3,2019-11-08,X043
Led Zeppelin,IV (untitled),7.98,cass,9,2019-11-08,X043
Van Halen,1984,9.98,lp,3,2019-01-12,X007
The Doors,The Doors,7.98,cass,9,2019-01-12,X007
Led Zeppelin,IV (untitled),7.98,lp,4,2019-01-12,X007
Aerosmith,Toys in the Attic,7.98,lp,4,2019-08-02,X022
The Rolling Stones,Sticky Fingers,7.98,lp,3,2019-08-02,X022
U2,War,9.98,cass,6,2019-08-02,X022
Heart,Dreamboat Annie,7.98,cass,4,2019-08-02,X022
Aerosmith,Toys in the Attic,7.98,cass,5,2019-08-02,X022
Queen,Night at the Opera,7.98,lp,4,2019-08-02,X022
Led Zeppelin,IV (untitled),7.98,cass,8,2019-08-02,X022
Led Zeppelin,IV (untitled),7.98,lp,3,2019-11-14,X020
Led Zeppelin,IV (untitled),7.98,cass,5,2019-11-14,X020
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,4,2019-11-14,X020
U2,War,9.98,lp,5,2019-11-14,X020
Def Leppard,Hysteria,9.98,cass,2,2019-11-14,X020
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,5,2019-11-14,X020
Rush,Moving Pictures,8.98,cass,4,2019-11-14,X020
ZZ Top,Eliminator,9.98,cass,7,2019-11-14,X020
Led Zeppelin,IV (untitled),7.98,cass,5,2019-08-18,X030
Eagles,Hotel California,8.98,cass,5,2019-08-18,X030
Fleetwood Mac,Rumours,8.98,cass,4,2019-08-18,X030
The Rolling Stones,Sticky Fingers,7.98,lp,2,2019-08-18,X030
Aerosmith,Toys in the Attic,7.98,cass,6,2019-08-18,X030
Pink Floyd,The Wall,14.98,lp,3,2019-08-18,X030
Pink Floyd,The Wall,14.98,lp,5,2019-08-18,X030
The Rolling Stones,Sticky Fingers,7.98,cass,3,2019-08-18,X030
The Rolling Stones,Sticky Fingers,7.98,lp,4,2019-11-23,X014
Boston,Boston,8.98,cass,3,2019-11-23,X014
The Cars,The Cars,8.98,lp,6,2019-11-23,X014
U2,War,9.98,lp,4,2019-11-23,X014
U2,War,9.98,lp,4,2019-11-23,X014
The Who,Who's Next,7.98,cass,5,2019-11-23,X014
AC/DC,Back in Black,8.98,cass,5,2019-11-23,X014
Journey,Escape,8.98,lp,3,2019-11-23,X014
Heart,Dreamboat Annie,7.98,lp,8,2019-11-23,X014
The Rolling Stones,Sticky Fingers,7.98,cass,2,2019-04-20,X026
Bad Company,Bad Company,7.98,cass,3,2019-04-20,X026
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,3,2019-04-20,X026
AC/DC,Back in Black,8.98,lp,2,2019-04-20,X026
Steve Miller Band,Fly Like an Eagle,8.98,cass,5,2019-12-08,X001
Lynyrd Skynyrd,Second Helping,7.98,cass,7,2019-12-08,X001
Aerosmith,Toys in the Attic,7.98,lp,0,2019-11-10,X028
ZZ Top,Eliminator,9.98,cass,3,2019-11-10,X028
Led Zeppelin,IV (untitled),7.98,lp,4,2019-11-10,X028
Foreigner,4,8.98,cass,4,2019-11-10,X028
Bad Company,Bad Company,7.98,cass,1,2019-01-29,X045
Pink Floyd,The Wall,14.98,cass,2,2019-01-29,X045
Foreigner,4,8.98,cass,3,2019-01-29,X045
Eagles,Hotel California,8.98,lp,4,2019-01-29,X045
Eagles,Hotel California,8.98,lp,4,2019-05-09,X010
ZZ Top,Eliminator,9.98,cass,2,2019-05-09,X010
Foreigner,4,8.98,cass,3,2019-05-09,X010
The Doors,The Doors,7.98,cass,5,2019-05-09,X010
AC/DC,Back in Black,8.98,cass,4,2019-05-09,X010
Heart,Dreamboat Annie,7.98,cass,5,2019-05-09,X010
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,2,2019-02-18,X044
Pink Floyd,The Wall,14.98,cass,1,2019-02-18,X044
Aerosmith,Toys in the Attic,7.98,cass,2,2019-06-18,X036
Queen,Night at the Opera,7.98,cass,9,2019-06-18,X036
Def Leppard,Hysteria,9.98,lp,3,2019-06-18,X036
Boston,Boston,8.98,lp,3,2019-06-18,X036
The Rolling Stones,Sticky Fingers,7.98,cass,2,2019-04-10,X013
The Cars,The Cars,8.98,cass,5,2019-04-10,X013
Steve Miller Band,Fly Like an Eagle,8.98,cass,6,2019-04-10,X013
Def Leppard,Hysteria,9.98,cass,6,2019-11-05,X027
Aerosmith,Toys in the Attic,7.98,cass,8,2019-11-05,X027
Van Halen,1984,9.98,lp,3,2019-11-05,X027
Queen,Night at the Opera,7.98,lp,3,2019-06-06,X036
AC/DC,Back in Black,8.98,cass,0,2019-06-06,X036
The Beatles,Abbey Road,7.98,cass,2,2019-06-06,X036
The Who,Who's Next,7.98,lp,3,2019-11-17,X023
Journey,Escape,8.98,cass,6,2019-11-17,X023
Bad Company,Bad Company,7.98,lp,6,2019-03-15,X002
The Who,Who's Next,7.98,cass,4,2019-03-15,X002
The Doors,The Doors,7.98,lp,5,2019-10-08,X037
Led Zeppelin,IV (untitled),7.98,cass,2,2019-10-08,X037
Van Halen,1984,9.98,cass,3,2019-10-08,X037
The Doors,The Doors,7.98,lp,5,2019-10-08,X037
The Who,Who's Next,7.98,lp,4,2019-10-08,X037
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,4,2019-10-08,X037
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,4,2019-10-08,X037
The Rolling Stones,Sticky Fingers,7.98,cass,4,2019-05-05,X031
Eagles,Hotel California,8.98,lp,4,2019-05-05,X031
Eagles,Hotel California,8.98,cass,5,2019-05-05,X031
ZZ Top,Eliminator,9.98,cass,4,2019-05-05,X031
Led Zeppelin,IV (untitled),7.98,cass,3,2019-05-05,X031
Def Leppard,Hysteria,9.98,cass,6,2019-08-17,X034
Led Zeppelin,IV (untitled),7.98,lp,3,2019-08-17,X034
The Rolling Stones,Sticky Fingers,7.98,lp,3,2019-08-17,X034
AC/DC,Back in Black,8.98,lp,3,2019-08-17,X034
Lynyrd Skynyrd,Second Helping,7.98,cass,7,2019-04-03,X014
Led Zeppelin,IV (untitled),7.98,cass,3,2019-04-03,X014
Foreigner,4,8.98,lp,2,2019-04-03,X014
The Doors,The Doors,7.98,cass,6,2019-04-03,X014
Foreigner,4,8.98,cass,0,2019-04-03,X014
Fleetwood Mac,Rumours,8.98,cass,7,2019-04-03,X014
The Cars,The Cars,8.98,cass,4,2019-04-03,X014
Def Leppard,Hysteria,9.98,lp,1,2019-08-22,X035
The Rolling Stones,Sticky Fingers,7.98,cass,4,2019-06-19,X035
Journey,Escape,8.98,lp,4,2019-06-19,X035
The Rolling Stones,Sticky Fingers,7.98,lp,5,2019-06-19,X035
The Rolling Stones,Sticky Fingers,7.98,lp,2,2019-06-19,X035
Foreigner,4,8.98,cass,5,2019-06-19,X035
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,3,2019-06-19,X035
